ilkid,gp,pts,reb,asts,stl,blk,fgm,fga,ftm,fta,minutes,year_min,year_max,ppg,rpg,apg,spg,bpg,mpg,fg_pct,ft_pct,career_length,firstname,lastname,position,fullname,methods_count
PETTIBO01,792,20880,12849,2369,0,0,7349,16872,6182,8119,30690,1954,1964,26.363636363636363,16.223484848484848,2.9911616161616164,0.0,0.0,38.75,43.55737316263632,76.14238206675698,11,Bob,Pettit,F,Bob Pettit,4
ISSELDA01,1218,27482,11133,2907,943,532,10431,20904,6591,8315,41784,1970,1984,22.563218390804597,9.14039408866995,2.3866995073891624,0.7742200328407225,0.4367816091954023,34.30541871921182,49.89954075774971,79.26638604930848,15,Dan,Issel,C,Dan Issel,3
GERVIGE01,1060,26595,5602,2798,1283,1047,10368,20583,5737,6822,35597,1972,1985,25.089622641509433,5.284905660377358,2.639622641509434,1.210377358490566,0.9877358490566037,33.58207547169811,50.371665937909924,84.09557314570507,14,George,Gervin,G,George Gervin,3
GARNEKE01,775,15681,8601,3525,1089,1343,6311,12882,2915,3794,29583,1995,2004,20.233548387096775,11.098064516129032,4.548387096774194,1.4051612903225807,1.7329032258064516,38.17161290322581,48.990839931687624,76.8318397469689,10,Kevin,Garnett,F,Kevin Garnett,3
BARKLCH01,1073,23757,12546,4215,1648,888,8435,15605,6349,8643,39330,1984,1999,22.140726933830383,11.692451071761417,3.928238583410997,1.5358807082945014,0.8275862068965517,36.654240447343895,54.053188080743354,73.45828994562073,16,Charles,Barkley,F,Charles Barkley,3
BARRYRI01,1020,25279,6863,4952,1104,269,9695,21283,5713,6397,38153,1965,1979,24.783333333333335,6.72843137254902,4.854901960784313,1.0823529411764705,0.26372549019607844,37.404901960784315,45.552788610628205,89.30748788494607,15,Rick,Barry,F,Rick Barry,3
DUDLECH02,950,3823,5880,416,375,1099,1537,3735,749,1691,17677,1987,2002,4.024210526315789,6.189473684210526,0.4378947368421053,0.39473684210526316,1.156842105263158,18.60736842105263,41.15127175368139,44.29331756357185,16,Chris,Dudley,C,Chris Dudley,3
DIOPDE01,193,310,501,97,68,169,143,399,24,60,2089,2001,2004,1.6062176165803108,2.5958549222797926,0.5025906735751295,0.35233160621761656,0.8756476683937824,10.823834196891191,35.83959899749373,40.0,4,Desagana,Diop,C,Desagana Diop,3
DANIEME01,639,11778,9528,1140,99,362,4672,9985,2431,3699,22466,1967,1976,18.431924882629108,14.910798122065728,1.784037558685446,0.15492957746478872,0.5665101721439749,35.158059467918626,46.790185277916876,65.72046499053799,10,Mel,Daniels,C,Mel Daniels,3
DANTLAD01,1107,26274,6392,3254,1105,187,9217,17203,7833,9599,39506,1976,1990,23.73441734417344,5.7741644083107495,2.939476061427281,0.998193315266486,0.16892502258355918,35.68744354110208,53.57786432598965,81.60225023439942,15,Adrian,Dantley,F,Adrian Dantley,3
